HHNR;Wegnummer;Distanz_km;Emissionen;Verkehrsmittel
111537;3;0.385;0.0;Zu Fuss
111538;3;5.785;1438.4559054422048;Auto
111543;1;2.0;0.0;Zu Fuss
111547;1;8.83;0.0;Zu Fuss
111547;4;3.572;997.5859396162239;Auto
111547;6;2.0;0.0;Zu Fuss
111564;1;5.238;1302.442875143694;Auto
111565;1;3.442;0.0;Zu Fuss
111578;1;7.5;0.0;Zu Fuss
111607;3;3.32;0.0;Zu Fuss
111616;4;0.76;0.0;Zu Fuss
111618;8;4.858;27.107792550915995;Velo
111619;1;1.5;0.0;Zu Fuss
111619;4;1.5;0.0;Zu Fuss
111623;1;19.879;2571.391482227713;Auto
111625;1;0.715;199.68475555027996;Auto
111626;1;21.072;3076.583070192102;Auto
111627;3;21.34;5306.248750585419;Auto
111628;1;2.0;0.0;Zu Fuss
111633;1;2.654;0.0;Zu Fuss
111637;3;0.553;25.289486353733;Fahrzeugähnliche Geräte
111637;4;0.395;18.063918824094998;Fahrzeugähnliche Geräte
111637;6;15.867;3414.343602545784;Auto
111651;1;1.912;0.0;Zu Fuss
111658;1;0.291;0.0;Zu Fuss
111682;3;1.5;0.0;Zu Fuss
111687;2;11.194;1496.3557883042722;Auto
111689;7;2.0;0.0;Zu Fuss
111706;1;1.5;0.0;Zu Fuss
111706;2;2.5;0.0;Zu Fuss
111707;1;0.2;0.0;Zu Fuss
111707;2;0.2;0.0;Zu Fuss
111711;1;4.094;0.0;Zu Fuss
111721;7;1.255;7.002939409509999;Velo
111723;5;2.31;26.162724987629996;E-Bike_25
111728;1;1.0;0.0;Zu Fuss
111731;2;2.743;766.0633349292558;Auto
111769;1;2.0;0.0;Zu Fuss
111774;4;10.191;0.0;Zu Fuss
111775;5;0.536;0.0;Zu Fuss
111791;3;2.0;0.0;Zu Fuss
111793;1;10.0;0.0;Zu Fuss
111793;4;2.592;14.463441393983999;Velo
111808;1;6.29;0.0;Zu Fuss
111808;2;5.376;0.0;Zu Fuss
111814;1;1.0;0.0;Zu Fuss
111814;4;1.0;0.0;Zu Fuss
111814;5;0.1;0.0;Zu Fuss
111824;1;3.36;797.0346624340799;Auto
